,model_name,similarity
84,w2v_w8_d10.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.050056548467433425}}"
85,w2v_w8_d20.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.10011309693486685}}"
86,w2v_w8_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
87,w2v_w8_d40.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.07186060667662736}}"
88,w2v_w8_d50.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
89,w2v_w8_d60.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.01437212133532547}}"
90,w2v_w8_d70.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
91,w2v_w8_d80.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
92,w2v_w8_d90.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
93,w2v_w8_d100.mdl,"{'homer': {'map': 0.07222222222222222, 'ndcg': 0.1153195676760552}}"
94,w2v_w8_d200.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.010045681712070232}}"
95,w2v_w8_d300.mdl,"{'homer': {'map': 0.06666666666666667, 'ndcg': 0.0953145823296696}}"
96,w2v_w8_d400.mdl,"{'homer': {'map': 0.07857142857142857, 'ndcg': 0.1163975634011924}}"
97,w2v_w8_d500.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
98,w2v_w9_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
99,w2v_w9_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
100,w2v_w9_d30.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.13348412924648914}}"
101,w2v_w9_d40.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.09509601240491114}}"
102,w2v_w9_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
103,w2v_w9_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
104,w2v_w9_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
105,w2v_w9_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
106,w2v_w9_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
107,w2v_w9_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
108,w2v_w9_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
109,w2v_w9_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
110,w2v_w9_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
111,w2v_w9_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
112,w2v_w10_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
113,w2v_w10_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
114,w2v_w10_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
115,w2v_w10_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
116,w2v_w10_d50.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
117,w2v_w10_d60.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
118,w2v_w10_d70.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
119,w2v_w10_d80.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
120,w2v_w10_d90.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
121,w2v_w10_d100.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
122,w2v_w10_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
123,w2v_w10_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
124,w2v_w10_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
125,w2v_w10_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
