,model_name,similarity
93,w2v_w8_d100.mdl,"{'homer': {'map': 0.075, 'ndcg': 0.11580127456038346}}"
94,w2v_w8_d200.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
95,w2v_w8_d300.mdl,"{'homer': {'map': 0.07333333333333333, 'ndcg': 0.09633725830912138}}"
96,w2v_w8_d400.mdl,"{'homer': {'map': 0.12857142857142856, 'ndcg': 0.17797883899531883}}"
97,w2v_w8_d500.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.012909677530065675}}"
98,w2v_w9_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
99,w2v_w9_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
100,w2v_w9_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
101,w2v_w9_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
102,w2v_w9_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
103,w2v_w9_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
104,w2v_w9_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
105,w2v_w9_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
106,w2v_w9_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
107,w2v_w9_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
108,w2v_w9_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
109,w2v_w9_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
110,w2v_w9_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
111,w2v_w9_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
112,w2v_w10_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
113,w2v_w10_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
114,w2v_w10_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
115,w2v_w10_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
116,w2v_w10_d50.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
117,w2v_w10_d60.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
118,w2v_w10_d70.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
119,w2v_w10_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
120,w2v_w10_d90.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.012909677530065675}}"
121,w2v_w10_d100.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
122,w2v_w10_d200.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.033371032311622285}}"
123,w2v_w10_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
124,w2v_w10_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
125,w2v_w10_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
